Date,Question,AcceptableAnswers,Difficulty,Fact
2026-05-16,Who did Holly Holm knock out with a head kick in the third round at UFC Fight Night 111 in Singapore?,Bethe Correia,Medium,"Holm knocked out Correia with a head kick at 1:09 of round 3 at UFC Fight Night 111 in June 2017 in Singapore. This was Holm's first fight after losing the bantamweight title to Miesha Tate, and she was not the champion at the time of this bout."
2026-05-16,Who is the only fighter to defeat Chad Mendes twice in the UFC?,Jose Aldo,Medium,Aldo defeated Mendes twice — first at WEC 48 in 2010 and then in a rematch at UFC 142 in January 2012 — making him the only fighter to beat Mendes twice. Mendes later earned two title shots against Aldo for the featherweight crown.
2026-05-16,"Ineligible to win the interim Middleweight title due to missing weight, who did Yoel Romero knock out at UFC 221?",Luke Rockhold,Hard,"Romero missed weight and was ineligible to win the interim middleweight title at UFC 221, but he stopped Rockhold with a brutal knockout in round 3 in February 2018. Had Romero made weight, he would have been crowned interim champion."
2026-05-18,Who did Israel Adesanya knock out in the second round to unify the UFC middleweight title at UFC 243?,Robert Whittaker,Easy,Adesanya finished Whittaker in the second round at UFC 243 in Melbourne in front of over 57000 fans in one of the most anticipated middleweight title fights in years.
2026-05-18,Who did Jon Jones defeat to win his first UFC light heavyweight title at UFC 128?,Mauricio Rua,Easy,Jones stopped Rua by TKO in the third round becoming the youngest UFC champion in history at just 23 years old.
2026-05-18,Who did Chuck Liddell knock out at UFC 66 to make his fourth UFC light heavyweight title defense?,Tito Ortiz,Medium,"Liddell knocked out Ortiz in round 3 at UFC 66 in December 2006 in their rematch, making his fourth consecutive light heavyweight title defense. The event drew over 1 million PPV buys, the first UFC event to reach that milestone."
2026-05-18,Who did Rose Namajunas defeat to win her first UFC strawweight title?,Joanna Jedrzejczyk,Medium,Namajunas knocked out Jedrzejczyk in the first round at UFC 217 in one of the most shocking upsets in women's MMA history.
2026-05-18,"Aside from BJ Penn and Georges St-Pierre, who is the only fighter to defeat Matt Hughes twice?",Dennis Hallman,Hard,"Hallman defeated Hughes twice in regional competition early in their careers, making him the only fighter outside of Penn and GSP to beat Hughes twice. The losses were both early in Hughes' career before he became the dominant UFC welterweight champion."
2026-05-20,Who did Jon Jones put to sleep with a standing guillotine choke in the second round at UFC 140 to make his second light heavyweight title defense?,Lyoto Machida,Easy,"Jones dominated Machida in round 2 at UFC 140 in Toronto, catching his attempted takedown and locking in a tight standing guillotine that put Machida unconscious with 34 seconds left in the round. It is considered one of the most spectacular finishes in light heavyweight history."
2026-05-20,Which fighter is nicknamed The Lionheart?,Anthony Smith,Easy,Smith earned his reputation as one of the most durable and determined fighters in the light heavyweight division.
2026-05-20,Who did Jon Jones submit in the fourth round to make his first UFC light heavyweight title defense at UFC 135?,Quinton Jackson,Medium,"Jones dominated Rampage for four rounds at UFC 135 in Denver, using his reach and wrestling before locking in a rear naked choke in round 4. Jackson attempted to roll out but Jones stayed with him until the tap."
2026-05-20,Who did Tyron Woodley defeat to win the UFC welterweight championship?,Robbie Lawler,Medium,Woodley knocked out Lawler in the first round at UFC 201 to win the welterweight title in stunning fashion.
2026-05-20,"Defeating Brendan Allen for the inaugural LFA Middleweight title, what undefeated fighter defeated Rafael Natal by first-round knockout at UFC on Fox: Weidman vs. Gastelum?",Eryk Anders,Hard,"Anders had won the inaugural LFA Middleweight Championship before making his UFC debut, where he knocked out veteran Natal in round 1 at UFC on Fox: Weidman vs. Gastelum in July 2017. He went on to compile a solid UFC record at middleweight and light heavyweight."
2026-05-23,Who holds the record for most wins by knockout in UFC history?,Derrick Lewis,Easy,Lewis surpassed the record previously held by Chuck Liddell to become the UFC's all-time leader in knockout victories earning him the nickname The Black Beast.
2026-05-23,Which fighter is nicknamed The Nigerian Nightmare?,Kamaru Usman,Easy,Usman made the most welterweight title defenses in UFC history surpassing the record set by Georges St-Pierre.
2026-05-23,Who did Kamaru Usman defeat to win his first UFC welterweight title?,Tyron Woodley,Medium,Usman dominated Woodley over five rounds at UFC 235 to win the welterweight championship and begin a historic title reign.
2026-05-23,Who knocked out Mirko Cro Cop with a head kick at UFC 70 earning a heavyweight title shot?,Gabriel Gonzaga,Medium,Gonzaga knocked out the feared Cro Cop with his own signature weapon — a head kick — at UFC 70 in one of the biggest upsets in heavyweight history earning a shot at Randy Couture's title.
2026-05-23,Who is the only fighter to defeat Fedor Emelianenko twice?,Ryan Bader,Hard,"Bader defeated Fedor twice in Bellator — first by KO in round 1 at Bellator 214 in January 2019 to win the Bellator Heavyweight Championship, and again in their rematch. He is the only fighter to have beaten Fedor more than once across his legendary career."
2026-05-25,Who did GSP defeat to win his first UFC welterweight title at UFC 65?,Matt Hughes,Easy,GSP defeated the dominant champion Hughes at UFC 65 avenging his previous loss and beginning one of the greatest welterweight title reigns in UFC history.
2026-05-25,Which fighter is nicknamed The Prodigy?,B.J. Penn,Easy,Penn was one of the most naturally gifted fighters in UFC history winning titles at both lightweight and welterweight.
2026-05-25,Who did TJ Dillashaw defeat to win the UFC bantamweight title in a major upset at UFC 173?,Renan Barao,Medium,Dillashaw stopped the previously unbeaten Barao in the fifth round in one of the biggest upsets in bantamweight history showcasing footwork and timing that baffled the champion.
2026-05-25,Who did Luke Rockhold defeat to win his first UFC middleweight title?,Chris Weidman,Medium,Rockhold knocked out Weidman in the fourth round at UFC 194 to win the middleweight championship in impressive fashion.
2026-05-25,Who did Khabib Nurmagomedov submit in the third round to win his UFC debut at UFC on FX 1?,Kamal Shalorus,Hard,"Khabib submitted Shalorus with a rear naked choke in round 3 at UFC on FX 1 in January 2012, beginning his unbeaten UFC run. He went on to go 13-0 in the UFC before retiring as lightweight champion."
2026-05-27,Who was the first UFC fighter to hold world titles in two weight classes simultaneously?,Conor McGregor,Easy,"McGregor became the first simultaneous two-division UFC champion when he defeated Eddie Alvarez for the lightweight title at UFC 205 while holding the featherweight title. He held both belts at the same time, a first in UFC history."
2026-05-27,Which fighter is nicknamed Killa B?,Ben Saunders,Easy,Ben Saunders earned the nickname Killa B during his UFC career as a welterweight and middleweight known for his dynamic striking and submission skills. He competed in the UFC across two stints and was known for his exciting fighting style.
2026-05-27,Who did Francis Ngannou knock out in the first round at UFC 218 to earn his heavyweight title shot?,Alistair Overeem,Medium,Ngannou demolished Overeem with a left uppercut in round 1 at UFC 218 in December 2017 in Detroit. The ferocious finish earned him an immediate title shot against Stipe Miocic and announced him as the most dangerous puncher in heavyweight history.
2026-05-27,Who did Glover Teixeira defeat to win the UFC light heavyweight championship at UFC 267?,Jan Blachowicz,Medium,"Teixeira won the light heavyweight title at age 41 at UFC 267, submitting Blachowicz in round 5 in Abu Dhabi. He later lost the title to Jiri Prochazka via a rear naked choke submission in the final seconds of their UFC 275 fight."
2026-05-27,"What fighter had this four-fight winning streak: TKO over Karl Roberson, Split Decision over Dustin Jacoby, TKO over Chris Daukaus, and TKO over Anthony Smith?",Khalil Rountree Jr.,Hard,Rountree went on this winning streak through the light heavyweight division to earn a UFC light heavyweight title shot. His four consecutive finishes showcased his power and finishing ability as one of the most dangerous strikers at 205 pounds.
2026-05-30,Who did Cain Velasquez defeat by TKO to win his first UFC heavyweight title at UFC 121?,Brock Lesnar,Easy,"Velasquez dominated Lesnar with relentless striking and takedowns, stopping him in the first round at UFC 121 in October 2010. It was Cain's first heavyweight title win, ending Lesnar's title reign."
2026-05-30,Which fighter is nicknamed Bones?,Jon Jones,Easy,Jones earned the nickname Bones due to his lanky physique with long limbs that give him a significant reach advantage.
2026-05-30,Who did Dominick Cruz defeat by unanimous decision at UFC on Versus 6 to make his second UFC bantamweight title defense?,Demetrious Johnson,Medium,"Cruz defeated Johnson by unanimous decision at UFC on Versus 6 in October 2011, his second UFC bantamweight title defense. Cruz had already become champion by defeating Urijah Faber at UFC 132 in his first defense."
2026-05-30,Who did Jon Jones defeat in his sixth light heavyweight title defense at UFC 165 to break the divisional record?,Alexander Gustafsson,Medium,Jones defeated Gustafsson by unanimous decision at UFC 165 in his sixth title defense breaking Tito Ortiz's record for most consecutive light heavyweight title defenses. Many observers felt Gustafsson had won the fight.
2026-05-30,Who is the only fighter to hold wins over Luke Rockhold and Israel Adesanya?,Jan Blachowicz,Hard,"Blachowicz holds victories over former UFC middleweight champions Rockhold and Adesanya. He submitted Rockhold at UFC Fight Night 141 and defeated Adesanya at UFC 259 in his first light heavyweight title defense, making him the only fighter to have beaten both men."
2026-06-01,Who did Robbie Lawler defeat to win his first UFC welterweight title?,Johny Hendricks,Easy,Lawler defeated Hendricks by split decision in their rematch at UFC 181 to win the welterweight championship.
2026-06-01,Which fighter is nicknamed Gamebred?,Jorge Masvidal,Easy,Masvidal earned his nickname from his street fighting background in Miami where he competed in backyard fights as a teenager.
2026-06-01,Who did Zhang Weili knock out in 42 seconds to win the UFC strawweight title at UFC Fight Night 157?,Jessica Andrade,Medium,"Zhang knocked out the champion Andrade with a barrage of punches in just 42 seconds at UFC Fight Night 157 in Shenzhen, China in August 2019, becoming the first Chinese UFC champion. The finish was one of the most shocking title changes in strawweight history."
2026-06-01,Who did Cody Garbrandt defeat by unanimous decision to win the UFC bantamweight title at UFC 207?,Dominick Cruz,Medium,"Garbrandt defeated the seemingly invincible Cruz at UFC 207 in December 2016, knocking him down multiple times with crisp boxing. The win ended Cruz's 1000-day title reign."
2026-06-01,"What fighter had this four-fight winning streak: KO over Jon Fitch, Split Decision over Josh Koscheck, KO over Martin Kampmann, and Unanimous Decision over Carlos Condit?",Johny Hendricks,Hard,"Hendricks went on a remarkable run through the welterweight division's best, defeating Fitch, Koscheck, Kampmann, and Condit in succession to earn a UFC welterweight title shot against Georges St-Pierre at UFC 167, where he arguably won the fight but lost a controversial split decision."
2026-06-03,Which fighter is nicknamed The Last Stylebender?,Israel Adesanya,Easy,Adesanya took the Stylebender nickname from the anime Avatar The Last Airbender as a nod to his fluid striking style.
2026-06-03,Who did Stipe Miocic defeat by TKO in the first round to win his first heavyweight title at UFC 198?,Fabricio Werdum,Easy,Miocic stormed Werdum in the first round at UFC 198 in Brazil stopping the champion with ground and pound to begin his historic run as the most decorated heavyweight champion in UFC history.
2026-06-03,Who did TJ Dillashaw defeat to win back the UFC bantamweight title at UFC 217?,Cody Garbrandt,Medium,Dillashaw knocked out Garbrandt in the third round of their rematch at UFC 217 to reclaim the bantamweight title he had previously vacated.
2026-06-03,Who was the first fighter to knock out Anderson Silva in the UFC?,Chris Weidman,Medium,Weidman knocked out Silva in the second round at UFC 162 ending Silva's historic 2457 day title reign in one of the biggest upsets in UFC history.
2026-06-03,"What fighter knocked out Charles Oliveira at UFC 152, then followed it up with a decision victory over Dustin Poirier at UFC on Fuel TV 7?",Cub Swanson,Hard,Swanson stopped Oliveira by TKO at UFC 152 in September 2012 and then defeated Poirier by unanimous decision at UFC on Fuel TV 7 in February 2013. The back-to-back wins over two future champions announced Swanson as a legitimate featherweight contender.
2026-06-06,Which fighter is nicknamed Showtime?,Anthony Pettis,Easy,Pettis earned fame for his acrobatic fighting style including the famous wall-walk kick against Benson Henderson.
2026-06-06,"A former safety for Stony Brook University, what fighter nearly defeated Jon Jones at UFC 247?",Dominick Reyes,Easy,"Reyes, who played safety at Stony Brook University, put on an outstanding performance against Jones at UFC 247 in February 2020, with many scoring the fight for Reyes. Jones retained the title by split decision in one of the closest fights of his career."
2026-06-06,Who did Eddie Alvarez defeat to become the UFC lightweight champion at UFC Fight Night 90?,Rafael dos Anjos,Medium,Alvarez dominated dos Anjos from the opening bell stopping him in the first round to win the lightweight title and set up his blockbuster fight with Conor McGregor.
2026-06-06,Who did Aljamain Sterling defeat by split decision to win his first official UFC bantamweight title defense at UFC 273?,Petr Yan,Medium,"Sterling defeated Yan by split decision at UFC 273 in April 2022, avenging the disqualification loss in their first fight. Two judges scored it for Sterling, one for Yan, in a close fight that Sterling controlled with his grappling."
2026-06-06,Who is the only fighter to hold wins over Belal Muhammad and Tyron Woodley?,Vicente Luque,Hard,"Luque defeated Muhammad by submission at UFC 260 in 2019 and finished Woodley in round 1 at UFC 260 in March 2021. He remains the only fighter to have beaten both Muhammad, who went on to become UFC welterweight champion, and former champion Woodley."
2026-06-08,Which UFC fighter is a former Olympic gold medalist in freestyle wrestling?,Henry Cejudo,Easy,Cejudo won Olympic gold at the 2008 Beijing Games before transitioning to MMA and winning two UFC world titles.
2026-06-08,Which fighter is nicknamed The Count?,Michael Bisping,Easy,Bisping became the first British UFC champion and is now a popular television personality and UFC commentator.
2026-06-08,Who did Michael Bisping defeat by unanimous decision at UFC Fight Night 84 in London?,Anderson Silva,Medium,Bisping defeated Silva 48-47 on all three judges' scorecards at UFC Fight Night 84 in London in February 2016. The fight went the full five rounds in a close contest that saw Silva drop Bisping with a flying knee at the end of round 3 after the bell had effectively rung.
2026-06-08,Who did Leon Edwards defeat to win his first UFC welterweight title?,Kamaru Usman,Medium,Edwards knocked out Usman with a stunning head kick in the fifth round at UFC 278 to win the welterweight title.
2026-06-08,Who did Yoel Romero knock out in the third round in his UFC debut at UFC Fight Night 31?,Ronny Markes,Hard,Romero knocked out Markes with knees and punches at 1:39 of round 3 in his UFC debut at UFC Fight Night 31 (Fight for the Troops 3) in December 2013. His second UFC fight was a victory over Derek Brunson at UFC Fight Night 35 in January 2014.
2026-06-10,Who did Dustin Poirier defeat by knockout in round 4 at UFC on Fox 29 in one of the most explosive lightweight bouts of 2018?,Justin Gaethje,Easy,Poirier knocked out Gaethje in round 4 at UFC on Fox 29 in April 2018 in a brutal back-and-forth brawl. Both men were rocked multiple times before Poirier landed the finishing blow. The fight earned Fight of the Night honors.
2026-06-10,Which fighter is nicknamed The Baby Assassin?,Sean O'Malley,Easy,"O'Malley earned the nickname The Baby Assassin early in his career for his flashy, precise striking style and finishing ability despite his young age. He went on to win the UFC bantamweight championship at UFC 292 by knocking out Aljamain Sterling."
2026-06-10,Who did Petr Yan defeat to win the interim UFC bantamweight championship?,Cory Sandhagen,Medium,Yan defeated Sandhagen by unanimous decision at UFC 267 to win the interim bantamweight title.
2026-06-10,"Not counting fighters promoted to Champion, following the Strikeforce purchase, who was the first Strikeforce fighter to capture UFC gold?",Robbie Lawler,Medium,"After Zuffa purchased Strikeforce in 2011, Ronda Rousey was promoted directly as UFC women's bantamweight champion without fighting. Lawler, a former Strikeforce welterweight champion, earned his UFC title by defeating Johny Hendricks at UFC 181 in December 2014, making him the first to win UFC gold through competition following the purchase."
2026-06-10,Who is the only fighter to hold wins over both Dan Severn and Randy Couture?,Josh Barnett,Hard,"Barnett defeated Severn early in his career and then beat Couture to win the UFC heavyweight title at UFC 36 in March 2002, albeit the title was later vacated after Barnett tested positive for steroids. He remains the only fighter to have beaten both Severn and Couture."
2026-06-13,Who did Demetrious Johnson submit with a flying armbar at UFC 216 to break the UFC record for consecutive title defenses?,Ray Borg,Easy,Johnson's flying armbar finish of Borg at UFC 216 was his 11th consecutive title defense breaking Anderson Silva's record and standing as one of the most spectacular championship moments in UFC history.
2026-06-13,Which fighter is nicknamed The Diamond?,Dustin Poirier,Easy,Poirier has established himself as one of the best lightweights of his generation and is known for his charitable work in Louisiana.
2026-06-13,Demetrious Johnson was famously traded by the UFC to ONE Championship for what fighter?,Ben Askren,Medium,"In a landmark deal in 2018, the UFC traded flyweight champion Demetrious Johnson to ONE Championship in exchange for Ben Askren, a former ONE welterweight champion and undefeated wrestler. Askren went on to be knocked out in five seconds by Jorge Masvidal at UFC 239."
2026-06-13,Who did Charles Oliveira defeat to win the vacant UFC lightweight championship?,Michael Chandler,Medium,Oliveira submitted Chandler via rear naked choke in round 2 at UFC 262 to claim the vacant lightweight title. He was coming off 9 consecutive finishes and had been overlooked as a title contender for years despite his remarkable submission record.
2026-06-13,"Who is the only fighter to hold wins over Thiago Alves, Rafael Dos Anjos, and Rory MacDonald?",Gleison Tibau,Hard,"Tibau holds victories over three fighters who all went on to become top welterweight and lightweight contenders — Alves, dos Anjos, and MacDonald — making him one of the most underrated opponents of elite talent in UFC history despite never reaching title contention himself."
2026-06-15,Who did Alexandre Pantoja defeat to win the UFC flyweight championship at UFC 290?,Brandon Moreno,Easy,Pantoja defeated Moreno by unanimous decision at UFC 290 to win the flyweight title completing a remarkable rise from Ultimate Fighter contestant to world champion.
2026-06-15,Which fighter is nicknamed The Highlight?,Justin Gaethje,Easy,Gaethje earned his nickname for his exciting brawling style and his willingness to stand and trade with any opponent.
2026-06-15,Who defeated Valentina Shevchenko to end her first UFC flyweight title reign at Noche UFC?,Alexa Grasso,Medium,"Grasso submitted Shevchenko via rear naked choke in round 4 at Noche UFC in September 2023, ending Shevchenko's dominant first flyweight title reign at seven defenses. Their rematch at UFC 285 ended in a controversial majority draw, with Shevchenko winning the trilogy."
2026-06-15,Who did Tom Aspinall knock out at UFC 304 to make his first UFC interim heavyweight title defense?,Curtis Blaydes,Medium,"Aspinall stopped Blaydes with punches in round 2 at UFC 304 in Manchester in July 2024, making his first interim title defense in front of a home crowd. The fight put further pressure on undisputed champion Jon Jones to return."
2026-06-15,"Before losing to Conor McGregor at UFC Fight Night 126, who defeated Max Holloway via split decision at UFC 160?",Dennis Bermudez,Hard,"Bermudez defeated a young Holloway by split decision at UFC 160 in May 2013, handing him one of his early UFC losses. Holloway went on to become the UFC featherweight champion, while Bermudez later lost to McGregor at UFC Fight Night 126 in February 2018."
2026-06-17,Which fighter is nicknamed Smile'n?,Sam Alvey,Easy,"Sam Alvey earned the nickname Smile'n due to his perpetually cheerful demeanor and constant smile, even in the heat of battle. The light heavyweight and middleweight veteran was known as one of the most likable personalities on the UFC roster throughout his career."
2026-06-17,Who did Rashad Evans knock out to win the UFC light heavyweight title at UFC 92?,Forrest Griffin,Easy,Evans knocked out Griffin with a right hand in the second round at UFC 92 to win the light heavyweight title in a dominant display of his boxing power.
